# x, y, z, yaw_rad, timestamp_unix
0.4669, -0.1887, -1.3987, 0.0066, 1789127561.810
0.8774, -0.2104, -1.4035, -0.0867, 1789127699.210
1.2491, -0.2705, -1.3855, -0.2216, 1789127700.310
1.6237, -0.3394, -1.3798, -0.2577, 1789127702.510
2.0575, -0.4469, -1.3739, -0.2582, 1789127706.711
2.1925, -0.4955, -1.3742, -0.2585, 1789127707.811
2.4628, -0.5765, -1.3645, -0.2108, 1789127709.910
2.9314, -0.6731, -1.3582, -0.1580, 1789127711.010
3.1904, -0.7106, -1.3519, -0.1188, 1789127712.010
3.5701, -0.7329, -1.3511, -0.1034, 1789127713.010
4.1310, -0.7819, -1.3365, -0.0657, 1789127714.110
