run	goal_index	timestamp_elapsed_sec	pose_count	length_m	frame	endpoint_error_m	max_gap_m	occupied_hits	unknown_hits	out_of_bounds_hits
sequential	1	2.877294803998666	39	1.035354543687642	map	0.0	0.05000000074505806	0	0	0
sequential	1	3.9362473899964243	37	0.985354542942584	map	0.0	0.05000000074505806	0	0	0
sequential	1	4.985289010000997	33	0.8853545414524678	map	0.0	0.05000000074505806	0	0	0
sequential	1	6.033660902001429	31	0.8353545407074098	map	0.0	0.05000000074505806	0	0	0
sequential	1	7.084344008995686	29	0.7853545399623517	map	0.0	0.05000000074505806	0	0	0
sequential	1	8.13727410499996	25	0.6853545384722356	map	0.0	0.05000000074505806	0	0	0
sequential	1	9.184106047992827	23	0.6353545377271775	map	0.0	0.05000000074505806	0	0	0
sequential	1	10.232622302995878	19	0.5353545362370614	map	0.0	0.05000000074505806	0	0	0
sequential	1	11.27952818700578	17	0.48535453549200336	map	0.0	0.05000000074505806	0	0	0
sequential	1	12.334954411999206	13	0.38535453400188724	map	0.0	0.05000000074505806	0	0	0
sequential	1	13.381350280993502	11	0.3353545332568292	map	0.0	0.05000000074505806	0	0	0
sequential	1	14.431876631002524	7	0.23535453176671306	map	0.0	0.05000000074505806	0	0	0
sequential	2	14.99716810300015	47	1.235354536131208	map	0.0	0.05000000074505806	0	0	0
sequential	2	16.05015255100443	45	1.1853545353861499	map	0.0	0.05000000074505806	0	0	0
sequential	2	17.105669020995265	43	1.1353545346410918	map	0.0	0.05000000074505806	0	0	0
sequential	2	18.157980661999318	39	1.0353545331509757	map	0.0	0.05000000074505806	0	0	0
sequential	2	19.21297012400464	37	0.9853545324059176	map	0.0	0.05000000074505806	0	0	0
sequential	2	20.266763150997576	35	0.9353545316608596	map	0.0	0.05000000074505806	0	0	0
sequential	2	21.31640833799611	31	0.8353545301707435	map	0.0	0.05000000074505806	0	0	0
sequential	2	22.36617125000339	29	0.7853545294256854	map	0.0	0.05000000074505806	0	0	0
sequential	2	23.41847050600336	25	0.6853545279355693	map	0.0	0.05000000074505806	0	0	0
sequential	2	24.465591291998862	23	0.6353545271905112	map	0.0	0.05000000074505806	0	0	0
sequential	2	25.53233452499262	19	0.5353545257003951	map	0.0	0.05000000074505806	0	0	0
sequential	2	26.5803712039924	17	0.48535452495533704	map	0.0	0.05000000074505806	0	0	0
sequential	2	27.632690786995227	15	0.435354524210279	map	0.0	0.05000000074505806	0	0	0
sequential	2	28.68706224700145	11	0.33535452272016286	map	0.0	0.05000000074505806	0	0	0
sequential	2	29.74452798999846	9	0.2853545219751048	map	0.0	0.05000000074505806	0	0	0
sequential	3	30.53384394600289	47	1.2353545255945455	map	0.0	0.05000000074505806	0	0	0
sequential	3	31.588456580997445	45	1.1853545248494874	map	0.0	0.05000000074505806	0	0	0
sequential	3	32.635075985992444	43	1.1353545241044294	map	0.0	0.05000000074505806	0	0	0
sequential	3	33.68670152200502	39	1.0353545226143133	map	0.0	0.05000000074505806	0	0	0
sequential	3	34.735012496996205	37	0.9853545218692552	map	0.0	0.05000000074505806	0	0	0
sequential	3	35.78890837500512	33	0.8853545203791391	map	0.0	0.05000000074505806	0	0	0
sequential	3	36.834619689005194	31	0.835354519634081	map	0.0	0.05000000074505806	0	0	0
sequential	3	37.89015929600282	29	0.785354518889023	map	0.0	0.05000000074505806	0	0	0
sequential	3	38.936118990997784	25	0.6853545173989068	map	0.0	0.05000000074505806	0	0	0
sequential	3	39.980462778999936	23	0.6353545166538488	map	0.0	0.05000000074505806	0	0	0
sequential	3	41.036586964997696	19	0.5353545151637327	map	0.0	0.05000000074505806	0	0	0
sequential	3	42.092131729994435	17	0.48535451441867455	map	0.0	0.05000000074505806	0	0	0
sequential	3	43.142771379993064	13	0.38535451292855843	map	0.0	0.05000000074505806	0	0	0
sequential	3	44.19231722400582	11	0.3353545121835004	map	0.0	0.05000000074505806	0	0	0
cancel	1	3.0268597770045744	119	3.0353545524166354	map	0.0	0.05000000074505806	0	0	0
cancel	1	4.087669430999085	117	2.9853545516715774	map	0.0	0.05000000074505806	0	0	0
cancel	1	5.129362735999166	113	2.8853545501814613	map	0.0	0.05000000074505806	0	0	0
