timestamp	loadavg	memory	temperature	processes
2026-08-02T00:47:37+08:00	5.34 3.62 2.21 3/1751 343470	MemTotal:=16018340 MemAvailable:=4651956 	thermal_zone0=55812 thermal_zone1=54093 thermal_zone2=54312 thermal_zone3=54687 thermal_zone4=54218 thermal_zone5=54968 thermal_zone6=55375 thermal_zone7=54437 thermal_zone8=56093 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 15.9 60296; 342008 planner_server   5.4 139284; 342010 controller_serv  8.0 48064; 342025 bt_navigator     8.1 38240;
2026-08-02T00:47:38+08:00	5.31 3.64 2.22 15/1750 343507	MemTotal:=16018340 MemAvailable:=4650952 	thermal_zone0=55625 thermal_zone1=54000 thermal_zone2=54406 thermal_zone3=54656 thermal_zone4=54187 thermal_zone5=55218 thermal_zone6=55687 thermal_zone7=54406 thermal_zone8=55656 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 15.9 60296; 342008 planner_server   5.5 139292; 342010 controller_serv  8.2 48064; 342025 bt_navigator     8.2 38240;
2026-08-02T00:47:39+08:00	5.31 3.64 2.22 5/1758 343551	MemTotal:=16018340 MemAvailable:=4663600 	thermal_zone0=55656 thermal_zone1=54062 thermal_zone2=54343 thermal_zone3=54625 thermal_zone4=54218 thermal_zone5=54968 thermal_zone6=55343 thermal_zone7=54437 thermal_zone8=55812 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.5 139300; 342010 controller_serv  8.4 48064; 342025 bt_navigator     8.3 38240;
2026-08-02T00:47:40+08:00	5.31 3.64 2.22 17/1761 343592	MemTotal:=16018340 MemAvailable:=4660608 	thermal_zone0=55625 thermal_zone1=54093 thermal_zone2=54531 thermal_zone3=54500 thermal_zone4=54250 thermal_zone5=55187 thermal_zone6=55437 thermal_zone7=54500 thermal_zone8=55812 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.5 139308; 342010 controller_serv  8.6 48064; 342025 bt_navigator     8.4 38240;
2026-08-02T00:47:41+08:00	5.31 3.64 2.22 5/1759 343660	MemTotal:=16018340 MemAvailable:=4671156 	thermal_zone0=55593 thermal_zone1=54125 thermal_zone2=54625 thermal_zone3=54625 thermal_zone4=54187 thermal_zone5=55062 thermal_zone6=55468 thermal_zone7=54562 thermal_zone8=55968 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.6 139316; 342010 controller_serv  8.8 48064; 342025 bt_navigator     8.5 38240;
2026-08-02T00:47:43+08:00	5.21 3.65 2.23 13/1759 343696	MemTotal:=16018340 MemAvailable:=4669756 	thermal_zone0=55656 thermal_zone1=54093 thermal_zone2=54562 thermal_zone3=54562 thermal_zone4=54156 thermal_zone5=55156 thermal_zone6=55437 thermal_zone7=54531 thermal_zone8=55593 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.6 139324; 342010 controller_serv  9.0 48064; 342025 bt_navigator     8.6 38240;
2026-08-02T00:47:44+08:00	5.21 3.65 2.23 7/1759 343732	MemTotal:=16018340 MemAvailable:=4666520 	thermal_zone0=55656 thermal_zone1=54250 thermal_zone2=54343 thermal_zone3=54593 thermal_zone4=54187 thermal_zone5=55093 thermal_zone6=55437 thermal_zone7=54531 thermal_zone8=55593 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.6 139336; 342010 controller_serv  9.1 48064; 342025 bt_navigator     8.7 38240;
2026-08-02T00:47:45+08:00	5.21 3.65 2.23 5/1759 343768	MemTotal:=16018340 MemAvailable:=4662748 	thermal_zone0=55687 thermal_zone1=54093 thermal_zone2=54500 thermal_zone3=54500 thermal_zone4=54156 thermal_zone5=55125 thermal_zone6=55500 thermal_zone7=54437 thermal_zone8=55656 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.6 139336; 342010 controller_serv  9.2 48064; 342025 bt_navigator     8.7 38240;
2026-08-02T00:47:46+08:00	5.21 3.65 2.23 5/1755 343822	MemTotal:=16018340 MemAvailable:=4661784 	thermal_zone0=55625 thermal_zone1=54062 thermal_zone2=54437 thermal_zone3=54812 thermal_zone4=54062 thermal_zone5=55093 thermal_zone6=55437 thermal_zone7=54593 thermal_zone8=55781 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.6 139348; 342010 controller_serv  9.3 48064; 342025 bt_navigator     8.8 38240;
2026-08-02T00:47:47+08:00	5.21 3.65 2.23 2/1752 343878	MemTotal:=16018340 MemAvailable:=4657492 	thermal_zone0=55843 thermal_zone1=54125 thermal_zone2=54468 thermal_zone3=54468 thermal_zone4=54312 thermal_zone5=54968 thermal_zone6=55343 thermal_zone7=54468 thermal_zone8=55718 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.6 139356; 342010 controller_serv  9.5 48064; 342025 bt_navigator     8.9 38240;
2026-08-02T00:47:48+08:00	5.27 3.69 2.25 5/1752 343914	MemTotal:=16018340 MemAvailable:=4652960 	thermal_zone0=55562 thermal_zone1=54062 thermal_zone2=54500 thermal_zone3=54531 thermal_zone4=54125 thermal_zone5=55187 thermal_zone6=55531 thermal_zone7=54468 thermal_zone8=55687 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.7 139360; 342010 controller_serv  9.7 48064; 342025 bt_navigator     9.0 38240;
2026-08-02T00:47:49+08:00	5.27 3.69 2.25 6/1744 343950	MemTotal:=16018340 MemAvailable:=4645460 	thermal_zone0=55687 thermal_zone1=54156 thermal_zone2=54437 thermal_zone3=54875 thermal_zone4=54218 thermal_zone5=55031 thermal_zone6=55437 thermal_zone7=54562 thermal_zone8=55906 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.7 139360; 342010 controller_serv  9.8 48064; 342025 bt_navigator     9.0 38240;
2026-08-02T00:47:50+08:00	5.27 3.69 2.25 7/1747 344004	MemTotal:=16018340 MemAvailable:=4639740 	thermal_zone0=55687 thermal_zone1=54031 thermal_zone2=54500 thermal_zone3=54750 thermal_zone4=54125 thermal_zone5=55093 thermal_zone6=55375 thermal_zone7=54500 thermal_zone8=55656 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.7 139360; 342010 controller_serv 10.0 48064; 342025 bt_navigator     9.1 38240;
2026-08-02T00:47:52+08:00	5.27 3.69 2.25 4/1744 344060	MemTotal:=16018340 MemAvailable:=4635732 	thermal_zone0=55562 thermal_zone1=54062 thermal_zone2=54500 thermal_zone3=54562 thermal_zone4=54281 thermal_zone5=55187 thermal_zone6=55562 thermal_zone7=54437 thermal_zone8=55750 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 16.1 60296; 342008 planner_server   5.8 139372; 342010 controller_serv 10.1 48064; 342025 bt_navigator     9.2 38240;
2026-08-02T00:47:53+08:00	5.09 3.67 2.26 5/1744 344096	MemTotal:=16018340 MemAvailable:=4628976 	thermal_zone0=55593 thermal_zone1=54031 thermal_zone2=54375 thermal_zone3=54625 thermal_zone4=54187 thermal_zone5=55062 thermal_zone6=55500 thermal_zone7=54593 thermal_zone8=55625 	 342002 map_server       4.3 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.7 139376; 342010 controller_serv 10.1 48064; 342025 bt_navigator     9.2 38240;
