# x, y, z, yaw_rad, timestamp_unix
2.3490, -24.1459, 1.5170, -1.5659, 1778851681.692
2.3799, -24.5196, 1.5405, -1.5320, 1778851682.692
2.4279, -24.8659, 1.5548, -1.5054, 1778851683.692
2.4535, -25.2825, 1.5741, -1.5084, 1778851684.692
2.4984, -25.6918, 1.6125, -1.5132, 1778851685.693
2.5319, -26.0655, 1.6111, -1.5207, 1778851686.793
2.5694, -26.4902, 1.6346, -1.5182, 1778851687.892
2.6132, -26.8808, 1.6481, -1.5115, 1778851688.893
2.6581, -27.2908, 1.6690, -1.5031, 1778851689.992
2.7040, -27.6628, 1.6809, -1.4962, 1778851690.992
