# x, y, z, yaw_rad, timestamp_unix
0.9952, -4.0124, 0.2187, -1.5942, 1778851628.492
1.0015, -4.4191, 0.2546, -1.5903, 1778851629.590
1.0162, -4.7834, 0.2757, -1.5746, 1778851630.592
1.0389, -5.1868, 0.3086, -1.5577, 1778851631.692
1.0561, -5.5518, 0.3411, -1.5464, 1778851632.692
1.0826, -5.9186, 0.3685, -1.5476, 1778851633.692
1.1048, -6.2878, 0.3998, -1.5490, 1778851634.693
1.1297, -6.6648, 0.4331, -1.5507, 1778851635.693
1.1446, -7.0816, 0.4677, -1.5875, 1778851636.793
1.1336, -7.4616, 0.4945, -1.6588, 1778851637.793
1.0937, -7.8516, 0.5287, -1.7059, 1778851638.891
1.0625, -8.2547, 0.5653, -1.6860, 1778851639.989
1.0429, -8.6286, 0.5983, -1.6697, 1778851640.991
