# x, y, z, yaw_rad, timestamp_unix
1.7381, -16.9884, 1.1597, -1.5320, 1778851662.892
1.7692, -17.3627, 1.1870, -1.5344, 1778851663.892
1.7980, -17.7432, 1.2096, -1.5393, 1778851664.892
1.8389, -18.1595, 1.2329, -1.5098, 1778851665.992
1.8849, -18.5731, 1.2494, -1.4822, 1778851667.092
1.9431, -18.9916, 1.2713, -1.4615, 1778851668.189
2.0086, -19.3657, 1.2920, -1.4335, 1778851669.193
2.0858, -19.7387, 1.3094, -1.4030, 1778851670.193
2.1764, -20.1420, 1.3302, -1.3917, 1778851671.292
2.2555, -20.5382, 1.3440, -1.4141, 1778851672.292
2.3286, -20.9226, 1.3606, -1.4326, 1778851673.292
