# x, y, z, yaw_rad, timestamp_unix
1.3855, -12.2409, 0.8656, -1.4411, 1778851650.492
1.4366, -12.6409, 0.8842, -1.5091, 1778851651.492
1.4536, -13.0184, 0.9179, -1.5657, 1778851652.493
1.4701, -13.4449, 0.9448, -1.5505, 1778851653.592
1.5029, -13.8242, 0.9673, -1.5314, 1778851654.592
1.5393, -14.2038, 0.9910, -1.5078, 1778851655.592
1.5834, -14.5770, 1.0202, -1.5004, 1778851656.592
1.6257, -14.9606, 1.0355, -1.5188, 1778851657.592
1.6526, -15.3802, 1.0709, -1.5496, 1778851658.689
1.6696, -15.8002, 1.0958, -1.5799, 1778851659.788
1.6803, -16.1847, 1.1194, -1.5630, 1778851660.792
1.7076, -16.6028, 1.1440, -1.5395, 1778851661.892
1.7381, -16.9884, 1.1597, -1.5320, 1778851662.892
