# x, y, z, yaw_rad, timestamp_unix
1.0429, -8.6286, 0.5983, -1.6697, 1778851640.991
1.0250, -9.0241, 0.6351, -1.6539, 1778851641.992
1.0137, -9.4336, 0.6667, -1.6355, 1778851643.091
1.0082, -9.8117, 0.7022, -1.6040, 1778851644.092
1.0436, -10.2249, 0.7286, -1.5270, 1778851645.192
1.0873, -10.5963, 0.7573, -1.4806, 1778851646.192
1.1505, -11.0119, 0.7918, -1.4628, 1778851647.292
1.2243, -11.4073, 0.8174, -1.4073, 1778851648.292
1.3087, -11.8173, 0.8402, -1.4087, 1778851649.388
1.3855, -12.2409, 0.8656, -1.4411, 1778851650.492
