# x, y, z, yaw_rad, timestamp_unix
2.6140, -32.4394, 1.8983, -1.5252, 1778851703.393
2.6526, -32.8906, 1.9173, -1.5313, 1778851704.492
2.6798, -33.2769, 1.9333, -1.5395, 1778851705.492
2.7101, -33.6975, 1.9479, -1.5463, 1778851706.592
2.7338, -34.0853, 1.9623, -1.5496, 1778851707.592
2.7560, -34.5016, 1.9767, -1.5567, 1778851708.692
2.7739, -34.9099, 1.9899, -1.5656, 1778851709.792
2.7914, -35.3084, 2.0095, -1.5762, 1778851710.892
2.8028, -35.6871, 2.0259, -1.5812, 1778851711.892
2.8121, -36.0726, 2.0474, -1.5833, 1778851712.892
