# x, y, z, yaw_rad, timestamp_unix
23.1910, 0.6165, -1.4766, 0.1522, 1784709901.132
23.7460, 0.7010, -1.4863, 0.0520, 1784709902.432
24.2287, 0.7141, -1.4880, -0.0170, 1784709903.636
25.0363, 0.7237, -1.5084, -0.0411, 1784709905.632
25.7189, 0.8082, -1.5122, 0.0844, 1784709907.432
26.0760, 0.8771, -1.5158, 0.1737, 1784709908.532
26.6402, 1.0363, -1.5288, 0.1722, 1784709909.932
27.0943, 1.1260, -1.5313, 0.1522, 1784709911.032
27.2669, 1.1655, -1.5286, 0.1368, 1784709912.532
27.3962, 1.1668, -1.5376, 0.0821, 1784709914.632
27.8714, 1.2334, -1.5376, 0.0687, 1784709915.832
28.4669, 1.2356, -1.5513, -0.0630, 1784709917.232
28.9157, 1.2465, -1.5518, -0.0667, 1784709918.432
29.4895, 1.2546, -1.5572, -0.0277, 1784709919.832
30.0029, 1.2834, -1.5613, 0.0032, 1784709921.231
30.5597, 1.3036, -1.5661, 0.0161, 1784709922.632
31.0547, 1.3525, -1.5784, -0.0089, 1784709923.832
31.6187, 1.3295, -1.5702, -0.1070, 1784709925.232
32.2744, 1.3251, -1.5767, -0.0153, 1784709926.932
32.8612, 1.4033, -1.5876, 0.0651, 1784709928.532
33.6491, 1.5498, -1.5978, 0.1009, 1784709930.533
34.1635, 1.6294, -1.6016, 0.1125, 1784709932.132
34.4557, 1.6739, -1.6011, 0.1154, 1784709948.233
35.2158, 1.6756, -1.6074, -0.1356, 1784709949.933
35.9375, 1.6432, -1.6168, -0.0276, 1784709951.833
36.3989, 1.8220, -1.6223, 0.2051, 1784709953.233
36.9395, 1.9378, -1.6259, 0.1477, 1784709954.933
37.1129, 1.9580, -1.6279, 0.0785, 1784709957.533
37.7394, 1.9947, -1.6303, 0.0206, 1784709959.032
38.3226, 2.0079, -1.6424, -0.0411, 1784709960.533
39.2176, 1.9294, -1.6477, -0.2570, 1784709962.726
