# node_id, label, annotation, x, y, z, yaw_deg, timestamp_unix, traj_idx
1, WP-01, , 23.1910, 0.6165, -1.4766, 8.72, 1784709901.132, 46
2, WP-02, , 39.2176, 1.9294, -1.6477, -14.72, 1784709962.726, 76
3, WP-03, , 84.0201, 3.6937, -2.1598, 2.88, 1784710078.132, 144
4, WP-04, , 4.2337, -0.3006, -1.4495, -8.04, 1784709843.832, 11
5, WP-05, , 32.7243, 29.8332, -2.1637, 174.95, 1784710329.232, 282
6, WP-06, , 39.6780, 29.1436, -2.2578, 166.52, 1784710318.532, 275
7, WP-07, , 48.8562, 27.9675, -2.3637, 171.67, 1784710303.632, 265
8, WP-08, , 24.0574, 30.6320, -2.0444, 166.77, 1784710343.432, 291
9, WP-09, , 74.0509, 26.1431, -2.6824, 173.02, 1784710263.532, 235
