# x, y, z, yaw_rad, timestamp_unix
48.8562, 27.9675, -2.3637, 2.9963, 1784710303.632
47.7471, 28.0441, -2.3477, 3.0225, 1784710305.332
46.8331, 28.0701, -2.3329, 3.0417, 1784710306.732
45.9116, 28.1034, -2.3298, 3.0581, 1784710308.132
45.0028, 28.1041, -2.3141, 3.0838, 1784710309.532
44.4010, 28.1075, -2.3100, 3.0253, 1784710310.632
43.7566, 28.2860, -2.3059, 2.8311, 1784710312.132
42.6643, 28.5385, -2.2930, 2.8449, 1784710313.832
41.7717, 28.7424, -2.2861, 2.8681, 1784710315.232
40.6920, 28.9533, -2.2684, 2.8800, 1784710316.933
39.6780, 29.1436, -2.2578, 2.9064, 1784710318.532
