# x, y, z, yaw_rad, timestamp_unix
84.0201, 3.6937, -2.1598, 0.0502, 1784710078.132
84.5760, 3.7155, -2.1734, 0.0095, 1784710079.532
85.1006, 3.7446, -2.1798, -0.0216, 1784710080.832
85.6915, 3.7406, -2.1862, -0.0719, 1784710082.332
86.1573, 3.7260, -2.1845, -0.0942, 1784710084.033
86.6151, 3.7245, -2.1877, -0.0866, 1784710112.732
87.2438, 3.7085, -2.1945, -0.0787, 1784710114.432
88.0001, 3.7005, -2.2101, -0.0686, 1784710116.432
88.5749, 3.7065, -2.2141, -0.0464, 1784710118.432
89.0530, 3.7406, -2.2293, 0.0043, 1784710134.932
90.2109, 3.8185, -2.2414, 0.0175, 1784710136.732
91.3805, 3.9298, -2.2595, 0.0433, 1784710138.532
92.7557, 4.1110, -2.2752, 0.0585, 1784710140.633
93.8353, 4.2381, -2.2783, 0.0776, 1784710142.332
94.8541, 4.3796, -2.3072, 0.0932, 1784710143.832
95.9461, 4.5933, -2.3287, 0.1045, 1784710145.532
96.8548, 4.7587, -2.3588, 0.1217, 1784710146.932
97.9617, 4.9802, -2.3566, 0.1298, 1784710148.631
98.8610, 5.1891, -2.3870, 0.1573, 1784710150.034
99.6149, 5.3764, -2.3960, 0.1681, 1784710151.233
99.9511, 5.3890, -2.3913, 0.0327, 1784710152.233
101.0853, 5.3495, -2.4127, -0.1003, 1784710154.133
102.3179, 5.3502, -2.4258, -0.0698, 1784710156.032
103.4286, 5.3410, -2.4246, -0.0523, 1784710157.732
104.2844, 5.3238, -2.4358, -0.0603, 1784710159.033
105.6040, 5.3630, -2.4660, -0.0330, 1784710161.032
106.5084, 5.3887, -2.4519, 0.0142, 1784710162.332
107.5353, 5.4549, -2.4868, -0.0038, 1784710164.032
108.4684, 5.5238, -2.5009, 0.0071, 1784710165.433
109.4059, 5.6078, -2.5226, 0.0210, 1784710166.832
110.1972, 5.6940, -2.5152, 0.0273, 1784710168.131
110.7446, 5.7490, -2.5243, 0.0842, 1784710169.132
111.0736, 5.9640, -2.5376, 0.5009, 1784710170.732
111.3314, 6.3534, -2.5490, 0.7688, 1784710171.932
112.0352, 7.0846, -2.5626, 0.7884, 1784710173.432
112.4810, 7.6744, -2.5975, 0.8861, 1784710174.932
112.5561, 8.2022, -2.6238, 1.3485, 1784710176.632
112.6659, 9.0108, -2.6225, 1.3792, 1784710177.932
112.8434, 9.9726, -2.6690, 1.3668, 1784710179.431
112.9589, 10.9366, -2.6951, 1.3889, 1784710180.932
113.0485, 12.0328, -2.7263, 1.4151, 1784710182.632
113.1397, 12.8258, -2.7659, 1.4328, 1784710183.932
113.2236, 13.8396, -2.7896, 1.4502, 1784710185.432
113.2552, 14.7906, -2.8285, 1.4662, 1784710186.930
113.3058, 15.7886, -2.8529, 1.4915, 1784710188.433
113.2239, 16.9465, -2.8694, 1.5289, 1784710190.233
113.2441, 17.7893, -2.8888, 1.5376, 1784710191.531
113.2233, 18.7262, -2.9193, 1.5482, 1784710192.932
113.1700, 19.6453, -2.9388, 1.5770, 1784710194.332
113.0799, 20.6102, -2.9588, 1.5865, 1784710195.832
112.9948, 21.2558, -2.9788, 1.6405, 1784710197.132
112.7909, 21.5422, -2.9709, 2.0241, 1784710198.531
112.2000, 22.1109, -2.9915, 2.3021, 1784710200.231
111.6871, 22.5703, -2.9970, 2.3136, 1784710201.332
110.9694, 23.1147, -3.0071, 2.5781, 1784710203.532
110.4205, 23.1822, -2.9994, 2.8595, 1784710204.831
109.5880, 23.3688, -2.9966, 2.8706, 1784710206.131
108.7224, 23.5319, -2.9861, 2.8918, 1784710207.533
107.7554, 23.6863, -2.9830, 2.9194, 1784710209.033
107.3883, 23.6628, -2.9769, 3.1240, 1784710210.234
106.4675, 23.5854, -2.9686, -3.1262, 1784710211.733
105.6868, 23.5373, -2.9556, 3.1129, 1784710213.333
104.9781, 23.6453, -2.9529, 2.9439, 1784710214.633
103.8168, 23.7847, -2.9356, 2.9629, 1784710216.433
102.5951, 23.9065, -2.9211, 2.9883, 1784710218.333
101.4373, 23.9855, -2.9029, 3.0100, 1784710220.133
99.9328, 24.0556, -2.8853, 3.0370, 1784710222.432
98.6175, 24.0822, -2.8646, 3.0639, 1784710224.432
97.8673, 24.0793, -2.8433, 3.0624, 1784710225.632
96.4551, 24.0678, -2.8352, 3.0920, 1784710227.732
95.4163, 24.0350, -2.8220, 3.1179, 1784710229.332
94.5694, 23.9938, -2.8127, 3.1249, 1784710230.631
93.8766, 24.1195, -2.8098, 2.8883, 1784710232.332
93.0345, 24.2741, -2.8039, 2.9056, 1784710233.633
92.0809, 24.4083, -2.8008, 2.9288, 1784710235.132
91.0447, 24.5573, -2.7909, 2.9470, 1784710236.732
89.8053, 24.6974, -2.7802, 2.9696, 1784710238.632
88.7659, 24.7864, -2.7770, 2.9827, 1784710240.232
87.5209, 24.8772, -2.7657, 3.0058, 1784710242.133
86.5392, 24.9406, -2.7524, 3.0223, 1784710243.633
85.3701, 24.9750, -2.7473, 3.0561, 1784710245.432
84.3905, 24.9768, -2.7323, 3.0733, 1784710246.932
83.1993, 24.9572, -2.7276, 3.0950, 1784710248.732
82.4017, 25.0121, -2.7224, 2.9160, 1784710250.532
81.5597, 25.2026, -2.7218, 2.8773, 1784710251.931
80.5938, 25.3565, -2.7140, 2.8962, 1784710253.432
79.3699, 25.5674, -2.7173, 2.9165, 1784710255.332
78.2696, 25.7289, -2.7097, 2.9351, 1784710257.032
77.1030, 25.8773, -2.7005, 2.9548, 1784710258.832
76.3272, 25.9681, -2.6998, 2.9645, 1784710260.030
75.4104, 26.0384, -2.6957, 2.9885, 1784710261.432
74.0509, 26.1431, -2.6824, 3.0197, 1784710263.532
