# x, y, z, yaw_rad, timestamp_unix
32.7243, 29.8332, -2.1637, 3.0535, 1784710329.232
32.0742, 29.8462, -2.1530, 3.0680, 1784710330.232
31.0862, 29.8371, -2.1385, 3.0943, 1784710331.732
30.2361, 29.7887, -2.1250, 3.1169, 1784710333.032
29.0050, 29.7131, -2.1022, -3.1319, 1784710334.932
28.2822, 29.7945, -2.0993, 2.8525, 1784710336.732
27.1295, 30.0760, -2.0795, 2.8332, 1784710338.632
26.0463, 30.3096, -2.0699, 2.8865, 1784710340.332
25.0330, 30.4847, -2.0569, 2.8991, 1784710341.932
24.0574, 30.6320, -2.0444, 2.9106, 1784710343.432
