seq,x,y,yaw,timestamp
107,16.8014,-82.3699,0.8949,1778851860.207
108,17.0496,-82.0604,0.8949,1778851861.320
109,17.2978,-81.7509,0.8949,1778851862.433
110,17.5460,-81.4415,0.8949,1778851863.546
111,17.7942,-81.1320,0.8949,1778851864.659
112,18.0424,-80.8225,0.8949,1778851865.773
113,18.2906,-80.5130,0.8949,1778851866.886
114,18.5388,-80.2035,0.8949,1778851867.999
115,18.7869,-79.8941,0.8949,1778851869.112
116,19.0351,-79.5846,0.8949,1778851870.226
117,19.2833,-79.2751,0.8949,1778851871.339
118,19.5315,-78.9656,0.8949,1778851872.452
119,19.7797,-78.6561,0.8949,1778851873.565
120,20.0279,-78.3467,0.8949,1778851874.678
121,20.2761,-78.0372,0.8949,1778851875.792
122,20.5243,-77.7277,0.8949,1778851876.905
123,20.7725,-77.4182,0.8949,1778851878.018
124,21.0207,-77.1087,0.8949,1778851879.131
125,21.2689,-76.7992,0.8949,1778851880.244
126,21.5171,-76.4898,0.8949,1778851881.358
127,21.7653,-76.1803,0.8949,1778851882.471
128,22.0135,-75.8708,0.8949,1778851883.584
129,22.2617,-75.5613,0.8949,1778851884.697
130,22.5099,-75.2518,0.8949,1778851885.811
131,22.7580,-74.9424,0.8949,1778851886.924
132,23.0062,-74.6329,0.8949,1778851888.037
133,23.2544,-74.3234,0.8949,1778851889.150
134,23.5026,-74.0139,0.8949,1778851890.263
135,23.7508,-73.7044,0.8949,1778851891.377
136,23.9990,-73.3950,0.8949,1778851892.490
137,24.2472,-73.0855,0.8949,1778851893.603
138,24.4954,-72.7760,1.5940,1778851894.716
139,24.4862,-72.3814,1.5940,1778851895.830
140,24.4771,-71.9868,1.5940,1778851896.943
141,24.4679,-71.5923,1.5940,1778851898.056
142,24.4587,-71.1977,1.5940,1778851899.169
143,24.4496,-70.8031,1.5940,1778851900.282
144,24.4404,-70.4085,1.5940,1778851901.396
145,24.4312,-70.0139,1.5940,1778851902.509
146,24.4221,-69.6193,1.5940,1778851903.622
147,24.4129,-69.2248,1.5940,1778851904.735
148,24.4037,-68.8302,1.5940,1778851905.849
149,24.3946,-68.4356,1.5940,1778851906.962
150,24.3854,-68.0410,1.5940,1778851908.075
151,24.3762,-67.6464,1.5940,1778851909.188
152,24.3671,-67.2518,1.5940,1778851910.301
153,24.3579,-66.8573,1.5940,1778851911.415
154,24.3488,-66.4627,1.5940,1778851912.528
155,24.3396,-66.0681,1.5940,1778851913.641
156,24.3304,-65.6735,1.5940,1778851914.754
157,24.3213,-65.2789,1.5940,1778851915.868
158,24.3121,-64.8843,1.5940,1778851916.981
159,24.3029,-64.4898,1.5940,1778851918.094
160,24.2938,-64.0952,1.5940,1778851919.207
161,24.2846,-63.7006,1.5940,1778851920.320
162,24.2754,-63.3060,1.5940,1778851921.434
163,24.2663,-62.9114,1.5940,1778851922.547
164,24.2571,-62.5168,1.5940,1778851923.660
165,24.2479,-62.1223,1.5940,1778851924.773
166,24.2388,-61.7277,1.5940,1778851925.887
167,24.2296,-61.3331,2.0071,1778851927.000
168,24.0641,-60.9782,2.0071,1778851928.113
169,23.8986,-60.6232,2.0071,1778851929.226
170,23.7331,-60.2683,2.0071,1778851930.339
171,23.5676,-59.9133,2.0071,1778851931.453
172,23.4021,-59.5584,2.0071,1778851932.566
173,23.2366,-59.2035,2.0071,1778851933.679
174,23.0711,-58.8485,2.0071,1778851934.792
175,22.9056,-58.4936,2.0071,1778851935.905
176,22.7401,-58.1386,2.0071,1778851937.019
177,22.5746,-57.7837,2.0071,1778851938.132
178,22.4091,-57.4288,2.0071,1778851939.245
179,22.2436,-57.0738,2.0071,1778851940.358
180,22.0781,-56.7189,2.0071,1778851941.472
181,21.9126,-56.3639,2.0071,1778851942.585
182,21.7471,-56.0090,2.0071,1778851943.698
183,21.5816,-55.6540,2.0071,1778851944.811
184,21.4161,-55.2991,2.0071,1778851945.924
185,21.2506,-54.9442,2.0071,1778851947.038
186,21.0851,-54.5892,2.0071,1778851948.151
187,20.9196,-54.2343,2.0071,1778851949.264
188,20.7541,-53.8793,2.0071,1778851950.377
189,20.5886,-53.5244,2.9618,1778851951.491
190,20.1871,-53.4514,2.9618,1778851952.604
191,19.7857,-53.3785,2.9618,1778851953.717
192,19.3842,-53.3055,2.9618,1778851954.830
193,18.9827,-53.2326,2.9618,1778851955.943
194,18.5812,-53.1596,2.9618,1778851957.057
195,18.1797,-53.0867,2.9618,1778851958.170
196,17.7783,-53.0137,2.9618,1778851959.283
197,17.3768,-52.9408,2.9618,1778851960.396
198,16.9753,-52.8678,2.9618,1778851961.510
199,16.5739,-52.7948,2.9618,1778851962.623
200,16.1724,-52.7219,2.9618,1778851963.736
201,15.7709,-52.6489,2.9618,1778851964.849
202,15.3694,-52.5760,2.9618,1778851965.962
203,14.9680,-52.5030,2.9618,1778851967.076
204,14.5665,-52.4301,2.9618,1778851968.189
205,14.1650,-52.3571,2.9618,1778851969.302
206,13.7635,-52.2842,2.9618,1778851970.415
207,13.3620,-52.2112,2.9618,1778851971.529
208,12.9606,-52.1383,2.9618,1778851972.642
209,12.5591,-52.0653,2.9618,1778851973.755
