seq,x,y,yaw,timestamp
5,18.5812,-53.1596,2.9618,1778851962.258
6,18.1797,-53.0867,2.9618,1778851963.371
7,17.7783,-53.0137,2.9618,1778851964.485
8,17.3768,-52.9408,2.9618,1778851965.598
9,16.9753,-52.8678,2.9618,1778851966.711
10,16.5739,-52.7948,2.9618,1778851967.824
11,16.1724,-52.7219,2.9618,1778851968.937
12,15.7709,-52.6489,2.9618,1778851970.051
13,15.3694,-52.5760,2.9618,1778851971.164
14,14.9680,-52.5030,2.9618,1778851972.277
15,14.5665,-52.4301,2.9618,1778851973.390
16,14.1650,-52.3571,2.9618,1778851974.504
17,13.7635,-52.2842,2.9618,1778851975.617
18,13.3620,-52.2112,2.9618,1778851976.730
19,12.9606,-52.1383,2.9618,1778851977.843
20,12.5591,-52.0653,-2.6036,1778851978.956
21,12.2148,-52.2707,-2.6036,1778851980.070
22,11.8705,-52.4762,-2.6036,1778851981.183
23,11.5262,-52.6816,-2.6036,1778851982.296
24,11.1820,-52.8870,-2.6036,1778851983.409
25,10.8377,-53.0925,-2.6036,1778851984.522
26,10.4934,-53.2979,-2.6036,1778851985.636
27,10.1491,-53.5033,-2.6036,1778851986.749
28,9.8048,-53.7088,-2.6036,1778851987.862
29,9.4605,-53.9142,-2.6036,1778851988.975
30,9.1162,-54.1196,-2.6036,1778851990.089
31,8.7719,-54.3251,-2.6036,1778851991.202
32,8.4277,-54.5305,-2.6036,1778851992.315
33,8.0834,-54.7359,-2.6036,1778851993.428
34,7.7391,-54.9414,-2.6036,1778851994.541
35,7.3948,-55.1468,-2.9898,1778851995.655
36,6.9873,-55.2091,-2.9898,1778851996.768
37,6.5798,-55.2715,-2.9898,1778851997.881
38,6.1723,-55.3338,-2.9898,1778851998.994
39,5.7649,-55.3961,-2.9898,1778852000.108
40,5.3574,-55.4584,-2.9898,1778852001.221
41,4.9499,-55.5208,-2.9898,1778852002.334
42,4.5424,-55.5831,3.0042,1778852003.447
43,4.0921,-55.5208,3.0042,1778852004.560
44,3.6418,-55.4586,3.0042,1778852005.674
45,3.1915,-55.3963,3.0042,1778852006.787
46,2.7412,-55.3340,3.0042,1778852007.900
47,2.2909,-55.2718,3.0042,1778852009.013
48,1.8406,-55.2095,3.0042,1778852010.127
