seq,x,y,yaw,timestamp
14,4.8899,-59.1486,-1.6317,1778851775.177
15,4.8654,-59.5507,-1.6317,1778851776.290
16,4.8409,-59.9527,-1.6317,1778851777.404
17,4.8164,-60.3547,-1.6317,1778851778.517
18,4.7919,-60.7567,-1.6317,1778851779.630
19,4.7674,-61.1587,-1.6317,1778851780.743
20,4.7429,-61.5608,-1.6317,1778851781.856
21,4.7184,-61.9628,-1.6317,1778851782.970
22,4.6939,-62.3648,-1.6317,1778851784.083
23,4.6693,-62.7668,-1.6317,1778851785.196
24,4.6448,-63.1688,-1.6317,1778851786.309
25,4.6203,-63.5709,-1.6317,1778851787.422
26,4.5958,-63.9729,-1.6317,1778851788.536
27,4.5713,-64.3749,-1.6317,1778851789.649
28,4.5468,-64.7769,-1.6317,1778851790.762
29,4.5223,-65.1789,-1.6317,1778851791.875
30,4.4978,-65.5810,-1.6317,1778851792.989
31,4.4733,-65.9830,-1.6317,1778851794.102
32,4.4488,-66.3850,-1.5221,1778851795.215
33,4.4680,-66.7800,-1.5221,1778851796.328
34,4.4873,-67.1749,-1.5221,1778851797.441
35,4.5065,-67.5699,-1.5221,1778851798.555
36,4.5258,-67.9648,-1.5221,1778851799.668
37,4.5450,-68.3598,-1.5221,1778851800.781
38,4.5643,-68.7548,-1.5221,1778851801.894
39,4.5836,-69.1497,-1.5221,1778851803.008
40,4.6028,-69.5447,-1.5221,1778851804.121
41,4.6220,-69.9396,-1.5221,1778851805.234
42,4.6413,-70.3346,-1.5221,1778851806.347
43,4.6606,-70.7296,-1.5221,1778851807.460
44,4.6798,-71.1245,-1.5221,1778851808.574
45,4.6990,-71.5195,-1.5221,1778851809.687
46,4.7183,-71.9144,-1.5221,1778851810.800
47,4.7376,-72.3094,-1.5221,1778851811.913
48,4.7568,-72.7043,-1.5221,1778851813.027
49,4.7760,-73.0993,-1.5221,1778851814.140
50,4.7953,-73.4943,-1.5221,1778851815.253
51,4.8146,-73.8892,-1.5221,1778851816.366
52,4.8338,-74.2842,-1.5221,1778851817.479
53,4.8530,-74.6791,-1.5221,1778851818.593
54,4.8723,-75.0741,-0.5489,1778851819.706
55,5.2131,-75.2826,-0.5489,1778851820.819
56,5.5540,-75.4910,-0.5489,1778851821.932
57,5.8948,-75.6995,-0.5489,1778851823.046
58,6.2356,-75.9079,-0.5489,1778851824.159
59,6.5765,-76.1164,-0.5489,1778851825.272
60,6.9173,-76.3248,-0.5489,1778851826.385
61,7.2581,-76.5333,-0.5489,1778851827.498
62,7.5990,-76.7417,-0.5489,1778851828.612
63,7.9398,-76.9502,-0.5489,1778851829.725
64,8.2806,-77.1586,-0.5489,1778851830.838
65,8.6214,-77.3671,-0.5489,1778851831.951
66,8.9623,-77.5755,-0.5489,1778851833.065
67,9.3031,-77.7840,-0.5489,1778851834.178
68,9.6439,-77.9924,-0.5489,1778851835.291
69,9.9848,-78.2009,-0.5489,1778851836.404
70,10.3256,-78.4093,-0.5489,1778851837.517
71,10.6664,-78.6178,-0.5489,1778851838.631
72,11.0073,-78.8262,-0.5489,1778851839.744
73,11.3481,-79.0347,-0.5489,1778851840.857
74,11.6889,-79.2431,-0.5489,1778851841.970
75,12.0298,-79.4516,-0.5489,1778851843.083
76,12.3706,-79.6600,-0.5489,1778851844.197
77,12.7114,-79.8685,-0.5489,1778851845.310
78,13.0523,-80.0769,-0.5489,1778851846.423
79,13.3931,-80.2854,-0.5489,1778851847.536
80,13.7339,-80.4938,-0.5489,1778851848.650
81,14.0747,-80.7023,-0.5489,1778851849.763
82,14.4156,-80.9107,-0.5489,1778851850.876
83,14.7564,-81.1192,-0.5489,1778851851.989
84,15.0972,-81.3276,-0.5489,1778851853.102
85,15.4381,-81.5361,-0.5489,1778851854.216
86,15.7789,-81.7445,-0.5489,1778851855.329
87,16.1197,-81.9530,-0.5489,1778851856.442
88,16.4606,-82.1614,-0.5489,1778851857.555
89,16.8014,-82.3699,0.8949,1778851858.669
90,17.0496,-82.0604,0.8949,1778851859.782
91,17.2978,-81.7509,0.8949,1778851860.895
92,17.5460,-81.4415,0.8949,1778851862.008
93,17.7942,-81.1320,0.8949,1778851863.121
94,18.0424,-80.8225,0.8949,1778851864.235
95,18.2906,-80.5130,0.8949,1778851865.348
96,18.5388,-80.2035,0.8949,1778851866.461
97,18.7869,-79.8941,0.8949,1778851867.574
98,19.0351,-79.5846,0.8949,1778851868.688
99,19.2833,-79.2751,0.8949,1778851869.801
100,19.5315,-78.9656,0.8949,1778851870.914
101,19.7797,-78.6561,0.8949,1778851872.027
102,20.0279,-78.3467,0.8949,1778851873.140
103,20.2761,-78.0372,0.8949,1778851874.254
104,20.5243,-77.7277,0.8949,1778851875.367
105,20.7725,-77.4182,0.8949,1778851876.480
106,21.0207,-77.1087,0.8949,1778851877.593
107,21.2689,-76.7992,0.8949,1778851878.707
108,21.5171,-76.4898,0.8949,1778851879.820
109,21.7653,-76.1803,0.8949,1778851880.933
110,22.0135,-75.8708,0.8949,1778851882.046
111,22.2617,-75.5613,0.8949,1778851883.159
112,22.5099,-75.2518,0.8949,1778851884.273
113,22.7580,-74.9424,0.8949,1778851885.386
114,23.0062,-74.6329,0.8949,1778851886.499
115,23.2544,-74.3234,0.8949,1778851887.612
116,23.5026,-74.0139,0.8949,1778851888.726
117,23.7508,-73.7044,0.8949,1778851889.839
118,23.9990,-73.3950,0.8949,1778851890.952
119,24.2472,-73.0855,0.8949,1778851892.065
120,24.4954,-72.7760,1.5940,1778851893.178
121,24.4862,-72.3814,1.5940,1778851894.292
122,24.4771,-71.9868,1.5940,1778851895.405
123,24.4679,-71.5923,1.5940,1778851896.518
124,24.4587,-71.1977,1.5940,1778851897.631
125,24.4496,-70.8031,1.5940,1778851898.744
126,24.4404,-70.4085,1.5940,1778851899.858
127,24.4312,-70.0139,1.5940,1778851900.971
128,24.4221,-69.6193,1.5940,1778851902.084
129,24.4129,-69.2248,1.5940,1778851903.197
130,24.4037,-68.8302,1.5940,1778851904.311
131,24.3946,-68.4356,1.5940,1778851905.424
132,24.3854,-68.0410,1.5940,1778851906.537
133,24.3762,-67.6464,1.5940,1778851907.650
134,24.3671,-67.2518,1.5940,1778851908.763
135,24.3579,-66.8573,1.5940,1778851909.877
136,24.3488,-66.4627,1.5940,1778851910.990
137,24.3396,-66.0681,1.5940,1778851912.103
138,24.3304,-65.6735,1.5940,1778851913.216
139,24.3213,-65.2789,1.5940,1778851914.330
140,24.3121,-64.8843,1.5940,1778851915.443
141,24.3029,-64.4898,1.5940,1778851916.556
142,24.2938,-64.0952,1.5940,1778851917.669
143,24.2846,-63.7006,1.5940,1778851918.782
144,24.2754,-63.3060,1.5940,1778851919.896
145,24.2663,-62.9114,1.5940,1778851921.009
146,24.2571,-62.5168,1.5940,1778851922.122
147,24.2479,-62.1223,1.5940,1778851923.235
148,24.2388,-61.7277,1.5940,1778851924.349
149,24.2296,-61.3331,1.5940,1778851925.462
