seq,x,y,yaw,timestamp
0,2.9245,-37.9655,-1.4277,1778851717.893
1,2.9808,-38.3559,-1.4277,1778851719.006
2,3.0370,-38.7463,-1.4277,1778851720.119
3,3.0933,-39.1367,-1.4277,1778851721.233
4,3.1495,-39.5271,-1.4277,1778851722.346
5,3.2058,-39.9175,-1.4277,1778851723.459
6,3.2620,-40.3078,-1.4277,1778851724.572
7,3.3182,-40.6982,-1.4277,1778851725.686
8,3.3745,-41.0886,-1.4277,1778851726.799
9,3.4308,-41.4790,-1.4277,1778851727.912
10,3.4870,-41.8694,-1.4277,1778851729.025
11,3.5433,-42.2598,-1.4277,1778851730.138
12,3.5995,-42.6502,-1.4277,1778851731.252
13,3.6558,-43.0406,-1.4277,1778851732.365
14,3.7120,-43.4310,-1.4277,1778851733.478
15,3.7683,-43.8214,-1.4277,1778851734.591
16,3.8245,-44.2118,-1.4277,1778851735.705
17,3.8807,-44.6021,-1.4277,1778851736.818
18,3.9370,-44.9925,-1.4277,1778851737.931
19,3.9932,-45.3829,-1.4277,1778851739.044
20,4.0495,-45.7733,-1.4277,1778851740.157
21,4.1058,-46.1637,-1.4277,1778851741.271
22,4.1620,-46.5541,-1.5167,1778851742.384
23,4.1833,-46.9472,-1.5167,1778851743.497
24,4.2046,-47.3404,-1.5167,1778851744.610
25,4.2258,-47.7335,-1.5167,1778851745.723
26,4.2471,-48.1267,-1.5167,1778851746.837
27,4.2684,-48.5198,-1.5167,1778851747.950
28,4.2897,-48.9129,-1.5167,1778851749.063
29,4.3110,-49.3061,-1.5167,1778851750.176
30,4.3323,-49.6992,-1.5167,1778851751.290
31,4.3536,-50.0923,-1.5167,1778851752.403
32,4.3748,-50.4855,-1.5167,1778851753.516
33,4.3961,-50.8786,-1.5167,1778851754.629
34,4.4174,-51.2718,-1.5167,1778851755.742
35,4.4387,-51.6649,-1.5167,1778851756.856
36,4.4600,-52.0580,-1.5167,1778851757.969
37,4.4812,-52.4512,-1.5167,1778851759.082
38,4.5025,-52.8443,-1.5167,1778851760.195
39,4.5238,-53.2375,-1.5167,1778851761.309
40,4.5451,-53.6306,-1.5722,1778851762.422
41,4.5446,-54.0211,-1.5722,1778851763.535
42,4.5440,-54.4116,-1.5722,1778851764.648
43,4.5435,-54.8021,-1.5722,1778851765.761
44,4.5429,-55.1926,-1.5722,1778851766.875
45,4.5424,-55.5831,-1.4282,1778851767.988
46,4.5990,-55.9776,-1.4282,1778851769.101
47,4.6557,-56.3721,-1.4282,1778851770.214
48,4.7123,-56.7666,-1.4282,1778851771.328
49,4.7690,-57.1611,-1.4282,1778851772.441
50,4.8256,-57.5556,-1.4282,1778851773.554
51,4.8823,-57.9501,-1.4282,1778851774.667
52,4.9389,-58.3446,-1.6317,1778851775.780
53,4.9144,-58.7466,-1.6317,1778851776.894
54,4.8899,-59.1486,-1.6317,1778851778.007
55,4.8654,-59.5507,-1.6317,1778851779.120
56,4.8409,-59.9527,-1.6317,1778851780.233
57,4.8164,-60.3547,-1.6317,1778851781.347
58,4.7919,-60.7567,-1.6317,1778851782.460
59,4.7674,-61.1587,-1.6317,1778851783.573
60,4.7429,-61.5608,-1.6317,1778851784.686
61,4.7184,-61.9628,-1.6317,1778851785.799
62,4.6939,-62.3648,-1.6317,1778851786.913
63,4.6693,-62.7668,-1.6317,1778851788.026
64,4.6448,-63.1688,-1.6317,1778851789.139
65,4.6203,-63.5709,-1.6317,1778851790.252
66,4.5958,-63.9729,-1.6317,1778851791.366
67,4.5713,-64.3749,-1.6317,1778851792.479
68,4.5468,-64.7769,-1.6317,1778851793.592
69,4.5223,-65.1789,-1.6317,1778851794.705
70,4.4978,-65.5810,-1.6317,1778851795.818
71,4.4733,-65.9830,-1.6317,1778851796.932
72,4.4488,-66.3850,-1.5221,1778851798.045
73,4.4680,-66.7800,-1.5221,1778851799.158
74,4.4873,-67.1749,-1.5221,1778851800.271
75,4.5065,-67.5699,-1.5221,1778851801.384
76,4.5258,-67.9648,-1.5221,1778851802.498
77,4.5450,-68.3598,-1.5221,1778851803.611
78,4.5643,-68.7548,-1.5221,1778851804.724
79,4.5836,-69.1497,-1.5221,1778851805.837
80,4.6028,-69.5447,-1.5221,1778851806.951
81,4.6220,-69.9396,-1.5221,1778851808.064
82,4.6413,-70.3346,-1.5221,1778851809.177
83,4.6606,-70.7296,-1.5221,1778851810.290
84,4.6798,-71.1245,-1.5221,1778851811.403
85,4.6990,-71.5195,-1.5221,1778851812.517
86,4.7183,-71.9144,-1.5221,1778851813.630
87,4.7376,-72.3094,-1.5221,1778851814.743
88,4.7568,-72.7043,-1.5221,1778851815.856
89,4.7760,-73.0993,-1.5221,1778851816.970
90,4.7953,-73.4943,-1.5221,1778851818.083
91,4.8146,-73.8892,-1.5221,1778851819.196
92,4.8338,-74.2842,-1.5221,1778851820.309
93,4.8530,-74.6791,-1.5221,1778851821.422
94,4.8723,-75.0741,-0.5489,1778851822.536
95,5.2131,-75.2826,-0.5489,1778851823.649
96,5.5540,-75.4910,-0.5489,1778851824.762
97,5.8948,-75.6995,-0.5489,1778851825.875
98,6.2356,-75.9079,-0.5489,1778851826.989
99,6.5765,-76.1164,-0.5489,1778851828.102
100,6.9173,-76.3248,-0.5489,1778851829.215
101,7.2581,-76.5333,-0.5489,1778851830.328
102,7.5990,-76.7417,-0.5489,1778851831.441
103,7.9398,-76.9502,-0.5489,1778851832.555
